Nombre,Precio,Descuento
,,Sin descuento
,,Sin descuento
,,Sin descuento
,,Sin descuento
,,Sin descuento
,,Sin descuento
,,Sin descuento
,,Sin descuento
,,Sin descuento
,,Sin descuento
,,Sin descuento
,,Sin descuento
,,Sin descuento
,,Sin descuento
,,Sin descuento
,,Sin descuento
,,Sin descuento
,,Sin descuento
,,Sin descuento
,,Sin descuento
,,Sin descuento
,,Sin descuento
,,Sin descuento
,,Sin descuento
,,Sin descuento
,,Sin descuento
,,Sin descuento
,,Sin descuento
"Alurin Go Start N24 Intel Celeron N4020/8GB/256GB SSD/15.6""",199.99,35
"PcCom Revolt 4060 Intel Core Ultra 7 155H/32GB/1TB SSD/RTX 4060/16""",1249.99,31
"ASUS TUF Gaming A15 FA506NCR-HN006 AMD Ryzen 7 7435HS/16GB/512GB SSD/RTX 3050/15.6""",669,26
"ASUS TUF Gaming A15 FA507NVR-LP070 AMD Ryzen 7 7435HS/32GB/1TB SSD/RTX 4060/15.6""",1049,19
"ASUS Vivobook Go E1504GA-NJ468 Intel Core i3-N305/8GB/256GB SSD/15.6""",299,29
"Acer Aspire 3 A315-59 Intel Core i5-1235U/16GB/512 GB SSD/15.6""",419,24
"Acer Gaming Nitro V 15 ANV15-41 AMD Ryzen 7 7735HS/32GB/1TB SSD/RTX 4060/15.6""",999,23
"HP 15-fc0091ns AMD Ryzen 5 7520U/16GB/1TB SSD/15.6""",499,29
"HP 15-fd0080ns Intel Core i5-1334U/16GB/512GB SSD/15.6""",569,16
"HP Victus Gaming 16-r0037ns Intel Core i7-13620H/32GB/1TB SSD/RTX 4070/16.1""",1259,21
"Lenovo IdeaPad 1 15AMN7 AMD Ryzen 5 7520U/16 GB/512GB SSD/15.6""",479,27
Lenovo IdeaPad Slim 3 15IAH8 Intel Core i5-12450H/16GB/512GB SSD/15.6'',459,23
"Lenovo IdeaPad Slim 3 15IRH8 Intel Core i7-13620H/16GB/1TB SSD/15.6""",579,23
"HP Victus 15-fa0059ns Intel Core i5-12450H/16GB/512GB SSD/RTX 3050/15.6""",669,16
ASUS TUF Gaming F17 FX707VI-HX040 Intel Core i7-13620H/32GB/1TB SSD/RTX 4070/17.3'',1399,26
"Acer Aspire 3 A315-59 Intel Core i5-1235U/16 GB/512GB SSD/15.6""",499,24
"Lenovo V15 G4 IRU Intel Core i5-13420H/16GB/512GB SSD/15.6""",579,22
ASUS TUF Gaming F17 FX707VV-HX110 Intel Core i7-13620H/32GB/1TB SSD/RTX 4060/17.3'',1199,25
"HP Victus 16-s0011ns AMD Ryzen 7 7840HS/32GB/1TB SSD/RTX 4060/16.1""",1119,20
"ASUS Vivobook 15 F1504ZA-NJ1474 Intel Core i5-1235U/16GB/512GB SSD/15.6""",459,18
"MSI Modern 15 H C13M-087XES Intel Core i7-13620H/32GB/1TB SSD/15.6""",699,22
"ASUS ROG Strix G16 G614JIR-N4003 Intel Core i9-14900HX/32GB/1TB SSD/RTX 4070/16""",1799,25
"Lenovo IdeaPad Gaming 3 15ARH7 AMD Ryzen 5 6600H/16GB/512GB SSD/RTX 3050/15.6""",629,31
"Lenovo IdeaPad 1 15AMN7 AMD Ryzen 3 7320U/8GB/256GB SSD/15.6""",299,35
"Acer Gaming Nitro V 15 ANV15-51 Intel Core i7-13620H/16GB/512GB SSD/RTX 4050/15.6""",1181.1,0
"MSI Thin 15 B12UC-1839XES Intel Core i7-12650H/16GB/1TB SSD/RTX 3050/15.6""",891.6,0
"Acer Gaming Nitro V 16 ANV16-41 AMD Ryzen 7 8845HS/32GB/1TB SSD/RTX 4060/16""",1099,21
"MSI Katana 15 B13VGK-1407XES Intel Core i7-13620H/32GB/1TB SSD/RTX 4070/15.6""",1219,24
"MSI Vector 16 HX A14VFG-276XES Intel Core i7-14700HX/32GB/1TB SSD/RTX 4060/16""",1399,30
"MSI Modern 14 C12MO-1278XES Intel Core i7-1255U/16GB/1TB SSD/14""",599,40
"MSI Crosshair 17 HX D14VGKG-072XES Intel Core i7-14650HX/32GB/1TB SSD/RTX 4070/17""",1399,26
"MSI Prestige 16 AI Studio B1VFG-032ES Intel Evo Core Ultra 9 185H/32GB/1TB SSD/RTX 4060/16""",1749,16
"ASUS Vivobook 15 F1504VA-NJ1382W Intel Core i7-1355U/16GB/1TB SSD/15.6""",769,9
"Dell Vostro 3520 Intel Core i5-1235U/16GB/512GB SSD/15.6""",549,39
"Lenovo LOQ 15IRH8 Intel Core i5-13420H/16GB/512GB SSD/RTX 4050/15.6""",749,37
"MSI Pulse 16 AI C1VFKG-023XES Intel Core Ultra 9 185H/32GB/1TB SSD/RTX 4060/16""",1369,24
"Lenovo IdeaPad Slim 3 15IAH8 Intel Core i5-12450H/16GB/1TB SSD/15.6""",579,17
"ASUS Vivobook 15 M1502YA-NJ448 AMD Ryzen 7 7730U/16GB/512GB SSD/15.6""",509,12
"Acer Gaming Nitro V 15 ANV15-51 Intel Core i5-13420H/16GB/512GB SSD/RTX 3050/15.6""",689,19
"HP 15-FD0079NS Intel Core i5-1334U/16GB/1TB SSD/15.6""",599,0
,,Sin descuento
,,Sin descuento
,,Sin descuento
,,Sin descuento
,,Sin descuento
,,Sin descuento
,,Sin descuento
,,Sin descuento
,,Sin descuento
,,Sin descuento
,,Sin descuento
,,Sin descuento
,,Sin descuento
,,Sin descuento
,,Sin descuento
,,Sin descuento
,,Sin descuento
,,Sin descuento
,,Sin descuento
,,Sin descuento
,,Sin descuento
,,Sin descuento
,,Sin descuento
,,Sin descuento
,,Sin descuento
,,Sin descuento
,,Sin descuento
,,Sin descuento
